DateAndTime            ,Date            ,Time        ,Fault_name              ,Val                     
-----------------------,----------------,------------,------------------------,------------------------
2022-11-17 23:46:59.000,      2022-11-17,23:46:59    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:46:59.000,      2022-11-17,23:46:59    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:46:59.000,      2022-11-17,23:46:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:45:59.000,      2022-11-17,23:45:59    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:45:59.000,      2022-11-17,23:45:59    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:45:59.000,      2022-11-17,23:45:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:45:00.000,      2022-11-17,23:45:00    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:45:00.000,      2022-11-17,23:45:00    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:45:00.000,      2022-11-17,23:45:00    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:43:59.000,      2022-11-17,23:43:59    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:43:59.000,      2022-11-17,23:43:59    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:43:59.000,      2022-11-17,23:43:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:42:59.000,      2022-11-17,23:42:59    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:42:59.000,      2022-11-17,23:42:59    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:42:59.000,      2022-11-17,23:42:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:41:59.000,      2022-11-17,23:41:59    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:41:59.000,      2022-11-17,23:41:59    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:41:59.000,      2022-11-17,23:41:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:40:59.000,      2022-11-17,23:40:59    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:40:59.000,      2022-11-17,23:40:59    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:40:59.000,      2022-11-17,23:40:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:40:00.000,      2022-11-17,23:40:00    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:40:00.000,      2022-11-17,23:40:00    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:40:00.000,      2022-11-17,23:40:00    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:38:59.000,      2022-11-17,23:38:59    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:38:59.000,      2022-11-17,23:38:59    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:38:59.000,      2022-11-17,23:38:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:37:59.000,      2022-11-17,23:37:59    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:37:59.000,      2022-11-17,23:37:59    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:37:59.000,      2022-11-17,23:37:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:37:00.000,      2022-11-17,23:37:00    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:37:00.000,      2022-11-17,23:37:00    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:37:00.000,      2022-11-17,23:37:00    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:35:59.000,      2022-11-17,23:35:59    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:35:59.000,      2022-11-17,23:35:59    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:35:59.000,      2022-11-17,23:35:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:34:59.000,      2022-11-17,23:34:59    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:34:59.000,      2022-11-17,23:34:59    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:34:59.000,      2022-11-17,23:34:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:34:00.000,      2022-11-17,23:34:00    ,Emergency_sick_fault    ,                    74.0
2022-11-17 23:34:00.000,      2022-11-17,23:34:00    ,Stamper_push_button_stop,                    32.0
2022-11-17 23:34:00.000,      2022-11-17,23:34:00    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:33:00.000,      2022-11-17,23:33:00    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:33:00.000,      2022-11-17,23:33:00    ,Stamper_push_button_stop,                    29.0
2022-11-17 23:33:00.000,      2022-11-17,23:33:00    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:31:59.000,      2022-11-17,23:31:59    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:31:59.000,      2022-11-17,23:31:59    ,Stamper_push_button_stop,                    28.0
2022-11-17 23:31:59.000,      2022-11-17,23:31:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:31:00.000,      2022-11-17,23:31:00    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:31:00.000,      2022-11-17,23:31:00    ,Stamper_push_button_stop,                    28.0
2022-11-17 23:31:00.000,      2022-11-17,23:31:00    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:29:59.000,      2022-11-17,23:29:59    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:29:59.000,      2022-11-17,23:29:59    ,Stamper_push_button_stop,                    26.0
2022-11-17 23:29:59.000,      2022-11-17,23:29:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:29:00.000,      2022-11-17,23:29:00    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:29:00.000,      2022-11-17,23:29:00    ,Stamper_push_button_stop,                    26.0
2022-11-17 23:29:00.000,      2022-11-17,23:29:00    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:27:59.000,      2022-11-17,23:27:59    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:27:59.000,      2022-11-17,23:27:59    ,Stamper_push_button_stop,                    26.0
2022-11-17 23:27:59.000,      2022-11-17,23:27:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:27:00.000,      2022-11-17,23:27:00    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:27:00.000,      2022-11-17,23:27:00    ,Stamper_push_button_stop,                    26.0
2022-11-17 23:27:00.000,      2022-11-17,23:27:00    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:25:59.000,      2022-11-17,23:25:59    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:25:59.000,      2022-11-17,23:25:59    ,Stamper_push_button_stop,                    26.0
2022-11-17 23:25:59.000,      2022-11-17,23:25:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:25:00.000,      2022-11-17,23:25:00    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:25:00.000,      2022-11-17,23:25:00    ,Stamper_push_button_stop,                    26.0
2022-11-17 23:25:00.000,      2022-11-17,23:25:00    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:24:00.000,      2022-11-17,23:24:00    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:24:00.000,      2022-11-17,23:24:00    ,Stamper_push_button_stop,                    20.0
2022-11-17 23:24:00.000,      2022-11-17,23:24:00    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:23:00.000,      2022-11-17,23:23:00    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:23:00.000,      2022-11-17,23:23:00    ,Stamper_push_button_stop,                    18.0
2022-11-17 23:23:00.000,      2022-11-17,23:23:00    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:21:59.000,      2022-11-17,23:21:59    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:21:59.000,      2022-11-17,23:21:59    ,Stamper_push_button_stop,                    18.0
2022-11-17 23:21:59.000,      2022-11-17,23:21:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:21:00.000,      2022-11-17,23:21:00    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:21:00.000,      2022-11-17,23:21:00    ,Stamper_push_button_stop,                    17.0
2022-11-17 23:21:00.000,      2022-11-17,23:21:00    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:19:59.000,      2022-11-17,23:19:59    ,Emergency_sick_fault    ,                    62.0
2022-11-17 23:19:59.000,      2022-11-17,23:19:59    ,Stamper_push_button_stop,                    14.0
2022-11-17 23:19:59.000,      2022-11-17,23:19:59    ,Stamper_Front_door_open ,                     0.0
2022-11-17 23:19:00.000,      2022-11-17,23:19:00    ,Emergency_sick_fault    ,                    62.0
