DateAndTime            ,Date            ,Time        ,Fault_name              ,Val                     
2022-11-15 16:58:26.000,      2022-11-15,16:58:26    ,Stamper_Front_door_open ,                    60.0
2022-11-15 16:58:26.000,      2022-11-15,16:58:26    ,Stamper_door_B_open     ,                    58.0
2022-11-15 15:58:26.000,      2022-11-15,15:58:26    ,Stamper_Front_door_open ,                    60.0
2022-11-15 15:58:26.000,      2022-11-15,15:58:26    ,Stamper_door_B_open     ,                    34.0
2022-11-15 15:58:26.000,      2022-11-15,15:58:26    ,Stamper_push_button_stop,                     6.0
2022-11-15 14:58:26.000,      2022-11-15,14:58:26    ,Stamper_door_B_open     ,                   340.0
2022-11-15 14:58:26.000,      2022-11-15,14:58:26    ,Stamper_Front_door_open ,                   209.0
2022-11-15 14:58:26.000,      2022-11-15,14:58:26    ,Stamper_push_button_stop,                   201.0
2022-11-15 13:58:26.000,      2022-11-15,13:58:26    ,Stamper_door_B_open     ,                   224.0
2022-11-15 13:58:26.000,      2022-11-15,13:58:26    ,Stamper_Front_door_open ,                   156.0
2022-11-15 13:58:26.000,      2022-11-15,13:58:26    ,Stamper_push_button_stop,                   104.0
2022-11-15 12:58:26.000,      2022-11-15,12:58:26    ,Stamper_door_B_open     ,                   190.0
2022-11-15 12:58:26.000,      2022-11-15,12:58:26    ,Stamper_Front_door_open ,                    81.0
2022-11-15 12:58:26.000,      2022-11-15,12:58:26    ,Stamper_push_button_stop,                    69.0
2022-11-15 11:58:26.000,      2022-11-15,11:58:26    ,Stamper_door_B_open     ,                   190.0
2022-11-15 11:58:26.000,      2022-11-15,11:58:26    ,Stamper_Front_door_open ,                    81.0
2022-11-15 11:58:26.000,      2022-11-15,11:58:26    ,Stamper_push_button_stop,                    69.0
2022-11-15 10:58:26.000,      2022-11-15,10:58:26    ,Stamper_door_B_open     ,                   168.0
2022-11-15 10:58:26.000,      2022-11-15,10:58:26    ,Stamper_push_button_stop,                    65.0
2022-11-15 10:58:26.000,      2022-11-15,10:58:26    ,Stamper_Front_door_open ,                    49.0
2022-11-15 09:58:26.000,      2022-11-15,09:58:26    ,Stamper_door_B_open     ,                   130.0
2022-11-15 09:58:26.000,      2022-11-15,09:58:26    ,Stamper_push_button_stop,                    55.0
2022-11-15 09:58:26.000,      2022-11-15,09:58:26    ,Stamper_Front_door_open ,                    49.0
2022-11-15 08:58:26.000,      2022-11-15,08:58:26    ,Stamper_Front_door_open ,                    22.0
2022-11-15 08:58:26.000,      2022-11-15,08:58:26    ,Stamper_door_B_open     ,                    20.0
2022-11-15 08:58:26.000,      2022-11-15,08:58:26    ,Stamper_push_button_stop,                    11.0
2022-11-15 07:58:26.000,      2022-11-15,07:58:26    ,Stamper_Front_door_open ,                    22.0
2022-11-15 07:58:26.000,      2022-11-15,07:58:26    ,Stamper_door_B_open     ,                    20.0
2022-11-15 07:58:26.000,      2022-11-15,07:58:26    ,Stamper_push_button_stop,                    11.0
2022-11-15 06:58:26.000,      2022-11-15,06:58:26    ,Stamper_door_B_open     ,                   145.0
2022-11-15 06:58:26.000,      2022-11-15,06:58:26    ,Stamper_Front_door_open ,                    57.0
2022-11-15 06:58:26.000,      2022-11-15,06:58:26    ,Stamper_push_button_stop,                    47.0
2022-11-15 05:58:26.000,      2022-11-15,05:58:26    ,Stamper_door_B_open     ,                   145.0
2022-11-15 05:58:26.000,      2022-11-15,05:58:26    ,Stamper_Front_door_open ,                    50.0
2022-11-15 05:58:26.000,      2022-11-15,05:58:26    ,Stamper_push_button_stop,                    45.0
2022-11-15 04:58:26.000,      2022-11-15,04:58:26    ,Stamper_door_B_open     ,                   145.0
2022-11-15 04:58:26.000,      2022-11-15,04:58:26    ,Stamper_Front_door_open ,                    50.0
2022-11-15 04:58:26.000,      2022-11-15,04:58:26    ,Stamper_push_button_stop,                    45.0
2022-11-15 03:58:26.000,      2022-11-15,03:58:26    ,Stamper_door_B_open     ,                   145.0
2022-11-15 03:58:26.000,      2022-11-15,03:58:26    ,Stamper_Front_door_open ,                    50.0
2022-11-15 03:58:26.000,      2022-11-15,03:58:26    ,Stamper_push_button_stop,                    45.0
2022-11-15 02:58:26.000,      2022-11-15,02:58:26    ,Stamper_door_B_open     ,                   133.0
2022-11-15 02:58:26.000,      2022-11-15,02:58:26    ,Stamper_push_button_stop,                    41.0
2022-11-15 02:58:26.000,      2022-11-15,02:58:26    ,Stamper_Front_door_open ,                    25.0
2022-11-15 01:58:26.000,      2022-11-15,01:58:26    ,Stamper_door_B_open     ,                    99.0
2022-11-15 01:58:26.000,      2022-11-15,01:58:26    ,Stamper_push_button_stop,                    32.0
2022-11-15 01:58:26.000,      2022-11-15,01:58:26    ,Stamper_Front_door_open ,                    25.0
2022-11-15 00:58:26.000,      2022-11-15,00:58:26    ,Stamper_door_B_open     ,                    99.0
2022-11-15 00:58:26.000,      2022-11-15,00:58:26    ,Stamper_push_button_stop,                    29.0
2022-11-15 00:58:26.000,      2022-11-15,00:58:26    ,Stamper_Front_door_open ,                     0.0
2022-11-14 23:58:26.000,      2022-11-14,23:58:26    ,Stamper_door_B_open     ,                    99.0
2022-11-14 23:58:26.000,      2022-11-14,23:58:26    ,Stamper_push_button_stop,                    29.0
2022-11-14 23:58:26.000,      2022-11-14,23:58:26    ,Stamper_Front_door_open ,                     0.0
2022-11-14 22:58:26.000,      2022-11-14,22:58:26    ,Stamper_door_B_open     ,                    73.0
2022-11-14 22:58:26.000,      2022-11-14,22:58:26    ,Stamper_push_button_stop,                     8.0
2022-11-14 22:58:26.000,      2022-11-14,22:58:26    ,Stamper_Front_door_open ,                     0.0
2022-11-14 21:58:26.000,      2022-11-14,21:58:26    ,Stamper_door_B_open     ,                   172.0
2022-11-14 21:58:26.000,      2022-11-14,21:58:26    ,Stamper_Front_door_open ,                   125.0
2022-11-14 21:58:26.000,      2022-11-14,21:58:26    ,Stamper_push_button_stop,                    54.0
2022-11-14 20:58:26.000,      2022-11-14,20:58:26    ,Stamper_door_B_open     ,                   161.0
2022-11-14 20:58:26.000,      2022-11-14,20:58:26    ,Stamper_Front_door_open ,                    97.0
2022-11-14 20:58:26.000,      2022-11-14,20:58:26    ,Stamper_push_button_stop,                    50.0
2022-11-14 19:58:26.000,      2022-11-14,19:58:26    ,Stamper_door_B_open     ,                   109.0
2022-11-14 19:58:26.000,      2022-11-14,19:58:26    ,Stamper_Front_door_open ,                    63.0
2022-11-14 19:58:26.000,      2022-11-14,19:58:26    ,Stamper_push_button_stop,                    45.0
2022-11-14 18:58:26.000,      2022-11-14,18:58:26    ,Stamper_door_B_open     ,                   109.0
2022-11-14 18:58:26.000,      2022-11-14,18:58:26    ,Stamper_Front_door_open ,                    63.0
2022-11-14 18:58:26.000,      2022-11-14,18:58:26    ,Stamper_push_button_stop,                    45.0
2022-11-14 17:58:26.000,      2022-11-14,17:58:26    ,Stamper_door_B_open     ,                    82.0
2022-11-14 17:58:26.000,      2022-11-14,17:58:26    ,Stamper_Front_door_open ,                    38.0
2022-11-14 17:58:26.000,      2022-11-14,17:58:26    ,Stamper_push_button_stop,                    30.0
2022-11-14 16:58:26.000,      2022-11-14,16:58:26    ,Stamper_door_B_open     ,                    82.0
2022-11-14 16:58:26.000,      2022-11-14,16:58:26    ,Stamper_Front_door_open ,                    38.0
2022-11-14 16:58:26.000,      2022-11-14,16:58:26    ,Stamper_push_button_stop,                    30.0
2022-11-14 15:58:26.000,      2022-11-14,15:58:26    ,Stamper_door_B_open     ,                    27.0
2022-11-14 15:58:26.000,      2022-11-14,15:58:26    ,Stamper_Front_door_open ,                    25.0
2022-11-14 15:58:26.000,      2022-11-14,15:58:26    ,Stamper_push_button_stop,                     6.0
2022-11-14 14:58:26.000,      2022-11-14,14:58:26    ,Stamper_door_B_open     ,                   198.0
2022-11-14 14:58:26.000,      2022-11-14,14:58:26    ,Stamper_push_button_stop,                    64.0
2022-11-14 14:58:26.000,      2022-11-14,14:58:26    ,Stamper_Front_door_open ,                    56.0
2022-11-14 13:58:26.000,      2022-11-14,13:58:26    ,Stamper_push_button_stop,                     0.0
2022-11-14 13:58:26.000,      2022-11-14,13:58:26    ,Stamper_Front_door_open ,                     0.0
2022-11-14 13:58:26.000,      2022-11-14,13:58:26    ,Stamper_door_B_open     ,                     0.0
2022-11-13 18:21:05.000,      2022-11-13,18:21:05    ,Stamper_Front_door_open ,                    59.0
2022-11-13 18:21:05.000,      2022-11-13,18:21:05    ,Stamper_door_B_open     ,                    31.0
2022-11-13 18:21:05.000,      2022-11-13,18:21:05    ,Stamper_push_button_stop,                    13.0
2022-11-13 18:18:58.000,      2022-11-13,18:18:58    ,Stamper_push_button_stop,                     0.0
2022-11-13 18:18:58.000,      2022-11-13,18:18:58    ,Stamper_Front_door_open ,                     0.0
2022-11-13 18:18:58.000,      2022-11-13,18:18:58    ,Stamper_door_B_open     ,                     0.0
2022-11-13 18:18:31.000,      2022-11-13,18:18:31    ,Stamper_Front_door_open ,                    59.0
