DateAndTime            ,Date            ,Time        ,CPM_1_Running           ,CPM_1_Actual_Speed      ,FBC_Produced_01         ,CPM_1_Waiting_Upstream  ,CPM_1_Blocked_Downstream,CPM_1_Under_Fault       ,CPM_1_Manual_Stop_Count ,CPM_1_Manual_Stop_Time  ,CPM_01_Status           
-----------------------,----------------,------------,------------------------,------------------------,------------------------,------------------------,------------------------,------------------------,------------------------,------------------------,------------------------
2022-11-16 11:32:26.000,      2022-11-16,11:32:26    ,                     1.0,                   224.0,                   579.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:31:26.000,      2022-11-16,11:31:26    ,                     1.0,                    84.0,                   577.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:30:26.000,      2022-11-16,11:30:26    ,                     1.0,                    98.0,                   574.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:29:26.000,      2022-11-16,11:29:26    ,                     1.0,                   224.0,                   574.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:28:26.000,      2022-11-16,11:28:26    ,                     1.0,                   224.0,                   572.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:27:26.000,      2022-11-16,11:27:26    ,                     1.0,                   112.0,                   569.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:26:26.000,      2022-11-16,11:26:26    ,                     1.0,                    84.0,                   567.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:25:26.000,      2022-11-16,11:25:26    ,                     1.0,                   210.0,                   566.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:24:26.000,      2022-11-16,11:24:26    ,                     1.0,                   238.0,                   565.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:23:26.000,      2022-11-16,11:23:26    ,                     1.0,                   196.0,                   562.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:22:26.000,      2022-11-16,11:22:26    ,                     1.0,                   140.0,                   559.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:21:26.000,      2022-11-16,11:21:26    ,                     1.0,                   182.0,                   557.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:20:26.000,      2022-11-16,11:20:26    ,                     1.0,                    98.0,                   555.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:19:26.000,      2022-11-16,11:19:26    ,                     1.0,                   224.0,                   553.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:18:26.000,      2022-11-16,11:18:26    ,                     1.0,                    42.0,                   552.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:17:26.000,      2022-11-16,11:17:26    ,                     1.0,                     0.0,                   549.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:16:26.000,      2022-11-16,11:16:26    ,                     0.0,                    56.0,                   549.0,                     0.0,                     0.0,                     1.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:15:26.000,      2022-11-16,11:15:26    ,                     1.0,                   140.0,                   549.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:14:26.000,      2022-11-16,11:14:26    ,                     1.0,                   182.0,                   548.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:13:26.000,      2022-11-16,11:13:26    ,                     1.0,                   126.0,                   546.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:12:26.000,      2022-11-16,11:12:26    ,                     1.0,                   168.0,                   544.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:11:26.000,      2022-11-16,11:11:26    ,                     1.0,                     0.0,                   543.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:10:26.000,      2022-11-16,11:10:26    ,                     0.0,                   224.0,                   541.0,                     0.0,                     0.0,                     1.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:09:26.000,      2022-11-16,11:09:26    ,                     1.0,                   224.0,                   540.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:08:26.000,      2022-11-16,11:08:26    ,                     1.0,                   238.0,                   538.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:07:26.000,      2022-11-16,11:07:26    ,                     1.0,                   154.0,                   535.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:06:26.000,      2022-11-16,11:06:26    ,                     1.0,                   154.0,                   532.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:05:26.000,      2022-11-16,11:05:26    ,                     1.0,                   238.0,                   531.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:04:26.000,      2022-11-16,11:04:26    ,                     1.0,                   210.0,                   529.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:03:26.000,      2022-11-16,11:03:26    ,                     1.0,                   224.0,                   526.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:02:26.000,      2022-11-16,11:02:26    ,                     1.0,                   112.0,                   523.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:01:26.000,      2022-11-16,11:01:26    ,                     1.0,                   238.0,                   521.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 11:00:26.000,      2022-11-16,11:00:26    ,                     1.0,                   210.0,                   519.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 10:59:26.000,      2022-11-16,10:59:26    ,                     1.0,                   224.0,                   517.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 10:58:26.000,      2022-11-16,10:58:26    ,                     1.0,                   238.0,                   514.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 10:57:26.000,      2022-11-16,10:57:26    ,                     1.0,                   210.0,                   511.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
2022-11-16 10:56:26.000,      2022-11-16,10:56:26    ,                     1.0,                    42.0,                   509.0,                     0.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL
