DateAndTime            ,Date            ,Time        ,TOTAL_FBC               
2022-11-16 10:11:26.000,      2022-11-16,10:11:26    ,                   843.0
2022-11-16 10:10:26.000,      2022-11-16,10:10:26    ,                   838.0
2022-11-16 10:09:26.000,      2022-11-16,10:09:26    ,                   834.0
2022-11-16 10:08:26.000,      2022-11-16,10:08:26    ,                   829.0
2022-11-16 10:07:26.000,      2022-11-16,10:07:26    ,                   825.0
2022-11-16 10:06:26.000,      2022-11-16,10:06:26    ,                   822.0
2022-11-16 10:05:26.000,      2022-11-16,10:05:26    ,                   820.0
2022-11-16 10:04:26.000,      2022-11-16,10:04:26    ,                   816.0
2022-11-16 10:03:26.000,      2022-11-16,10:03:26    ,                   814.0
2022-11-16 10:02:26.000,      2022-11-16,10:02:26    ,                   808.0
2022-11-16 10:01:26.000,      2022-11-16,10:01:26    ,                   804.0
2022-11-16 10:00:26.000,      2022-11-16,10:00:26    ,                   798.0
2022-11-16 09:59:26.000,      2022-11-16,09:59:26    ,                   796.0
2022-11-16 09:58:26.000,      2022-11-16,09:58:26    ,                   795.0
2022-11-16 09:57:26.000,      2022-11-16,09:57:26    ,                   793.0
2022-11-16 09:56:26.000,      2022-11-16,09:56:26    ,                   792.0
2022-11-16 09:55:26.000,      2022-11-16,09:55:26    ,                   790.0
2022-11-16 09:54:26.000,      2022-11-16,09:54:26    ,                   788.0
2022-11-16 09:53:26.000,      2022-11-16,09:53:26    ,                   785.0
2022-11-16 09:52:26.000,      2022-11-16,09:52:26    ,                   781.0
2022-11-16 09:51:26.000,      2022-11-16,09:51:26    ,                   777.0
2022-11-16 09:50:26.000,      2022-11-16,09:50:26    ,                   773.0
2022-11-16 09:49:26.000,      2022-11-16,09:49:26    ,                   770.0
2022-11-16 09:48:26.000,      2022-11-16,09:48:26    ,                   770.0
2022-11-16 09:47:26.000,      2022-11-16,09:47:26    ,                   769.0
2022-11-16 09:46:26.000,      2022-11-16,09:46:26    ,                   768.0
2022-11-16 09:45:26.000,      2022-11-16,09:45:26    ,                   766.0
2022-11-16 09:44:26.000,      2022-11-16,09:44:26    ,                   762.0
2022-11-16 09:43:26.000,      2022-11-16,09:43:26    ,                   759.0
2022-11-16 09:42:26.000,      2022-11-16,09:42:26    ,                   757.0
2022-11-16 09:41:26.000,      2022-11-16,09:41:26    ,                   753.0
2022-11-16 09:40:26.000,      2022-11-16,09:40:26    ,                   748.0
2022-11-16 09:39:26.000,      2022-11-16,09:39:26    ,                   744.0
2022-11-16 09:38:26.000,      2022-11-16,09:38:26    ,                   740.0
2022-11-16 09:37:26.000,      2022-11-16,09:37:26    ,                   736.0
2022-11-16 09:36:26.000,      2022-11-16,09:36:26    ,                   736.0
2022-11-16 09:35:26.000,      2022-11-16,09:35:26    ,                   733.0
2022-11-16 09:34:26.000,      2022-11-16,09:34:26    ,                   730.0
2022-11-16 09:33:26.000,      2022-11-16,09:33:26    ,                   726.0
2022-11-16 09:32:26.000,      2022-11-16,09:32:26    ,                   721.0
2022-11-16 09:31:26.000,      2022-11-16,09:31:26    ,                   716.0
2022-11-16 09:30:26.000,      2022-11-16,09:30:26    ,                   711.0
2022-11-16 09:29:26.000,      2022-11-16,09:29:26    ,                   708.0
2022-11-16 09:28:26.000,      2022-11-16,09:28:26    ,                   706.0
2022-11-16 09:27:26.000,      2022-11-16,09:27:26    ,                   702.0
2022-11-16 09:26:26.000,      2022-11-16,09:26:26    ,                   699.0
2022-11-16 09:25:26.000,      2022-11-16,09:25:26    ,                   695.0
2022-11-16 09:24:26.000,      2022-11-16,09:24:26    ,                   689.0
2022-11-16 09:23:26.000,      2022-11-16,09:23:26    ,                   685.0
2022-11-16 09:22:26.000,      2022-11-16,09:22:26    ,                   681.0
2022-11-16 09:21:26.000,      2022-11-16,09:21:26    ,                   677.0
2022-11-16 09:20:26.000,      2022-11-16,09:20:26    ,                   671.0
2022-11-16 09:19:26.000,      2022-11-16,09:19:26    ,                   667.0
2022-11-16 09:18:26.000,      2022-11-16,09:18:26    ,                   661.0
2022-11-16 09:17:26.000,      2022-11-16,09:17:26    ,                   656.0
2022-11-16 09:16:26.000,      2022-11-16,09:16:26    ,                   652.0
2022-11-16 09:15:26.000,      2022-11-16,09:15:26    ,                   649.0
2022-11-16 09:14:26.000,      2022-11-16,09:14:26    ,                   643.0
2022-11-16 09:13:26.000,      2022-11-16,09:13:26    ,                   640.0
2022-11-16 09:12:26.000,      2022-11-16,09:12:26    ,                   635.0
2022-11-16 09:11:26.000,      2022-11-16,09:11:26    ,                   629.0
2022-11-16 09:10:26.000,      2022-11-16,09:10:26    ,                   625.0
2022-11-16 09:09:26.000,      2022-11-16,09:09:26    ,                   619.0
2022-11-16 09:08:26.000,      2022-11-16,09:08:26    ,                   619.0
2022-11-16 09:07:26.000,      2022-11-16,09:07:26    ,                   617.0
2022-11-16 09:06:26.000,      2022-11-16,09:06:26    ,                   615.0
2022-11-16 09:05:26.000,      2022-11-16,09:05:26    ,                   609.0
2022-11-16 09:04:26.000,      2022-11-16,09:04:26    ,                   603.0
2022-11-16 09:03:26.000,      2022-11-16,09:03:26    ,                   600.0
2022-11-16 09:02:26.000,      2022-11-16,09:02:26    ,                   598.0
2022-11-16 09:01:26.000,      2022-11-16,09:01:26    ,                   596.0
2022-11-16 09:00:26.000,      2022-11-16,09:00:26    ,                   593.0
2022-11-16 08:59:26.000,      2022-11-16,08:59:26    ,                   591.0
2022-11-16 08:58:26.000,      2022-11-16,08:58:26    ,                   587.0
2022-11-16 08:57:26.000,      2022-11-16,08:57:26    ,                   584.0
2022-11-16 08:56:26.000,      2022-11-16,08:56:26    ,                   581.0
2022-11-16 08:55:26.000,      2022-11-16,08:55:26    ,                   578.0
2022-11-16 08:54:26.000,      2022-11-16,08:54:26    ,                   573.0
2022-11-16 08:53:26.000,      2022-11-16,08:53:26    ,                   567.0
2022-11-16 08:52:26.000,      2022-11-16,08:52:26    ,                   562.0
2022-11-16 08:51:26.000,      2022-11-16,08:51:26    ,                   558.0
2022-11-16 08:50:26.000,      2022-11-16,08:50:26    ,                   555.0
2022-11-16 08:49:26.000,      2022-11-16,08:49:26    ,                   552.0
2022-11-16 08:48:26.000,      2022-11-16,08:48:26    ,                   549.0
2022-11-16 08:47:26.000,      2022-11-16,08:47:26    ,                   545.0
2022-11-16 08:46:26.000,      2022-11-16,08:46:26    ,                   540.0
2022-11-16 08:45:26.000,      2022-11-16,08:45:26    ,                   536.0
2022-11-16 08:44:26.000,      2022-11-16,08:44:26    ,                   531.0
2022-11-16 08:43:26.000,      2022-11-16,08:43:26    ,                   527.0
2022-11-16 08:42:26.000,      2022-11-16,08:42:26    ,                   526.0
2022-11-16 08:41:26.000,      2022-11-16,08:41:26    ,                   523.0
2022-11-16 08:40:26.000,      2022-11-16,08:40:26    ,                   518.0
2022-11-16 08:39:26.000,      2022-11-16,08:39:26    ,                   514.0
2022-11-16 08:38:26.000,      2022-11-16,08:38:26    ,                   511.0
2022-11-16 08:37:26.000,      2022-11-16,08:37:26    ,                   505.0
2022-11-16 08:36:26.000,      2022-11-16,08:36:26    ,                   504.0
2022-11-16 08:35:26.000,      2022-11-16,08:35:26    ,                   503.0
2022-11-16 08:34:26.000,      2022-11-16,08:34:26    ,                   499.0
2022-11-16 08:33:26.000,      2022-11-16,08:33:26    ,                   493.0
2022-11-16 08:32:26.000,      2022-11-16,08:32:26    ,                   489.0
2022-11-16 08:31:26.000,      2022-11-16,08:31:26    ,                   486.0
2022-11-16 08:30:26.000,      2022-11-16,08:30:26    ,                   481.0
2022-11-16 08:29:26.000,      2022-11-16,08:29:26    ,                   478.0
2022-11-16 08:28:26.000,      2022-11-16,08:28:26    ,                   476.0
2022-11-16 08:27:26.000,      2022-11-16,08:27:26    ,                   476.0
2022-11-16 08:26:26.000,      2022-11-16,08:26:26    ,                   474.0
2022-11-16 08:25:26.000,      2022-11-16,08:25:26    ,                   472.0
2022-11-16 08:24:26.000,      2022-11-16,08:24:26    ,                   467.0
2022-11-16 08:23:26.000,      2022-11-16,08:23:26    ,                   463.0
2022-11-16 08:22:26.000,      2022-11-16,08:22:26    ,                   459.0
2022-11-16 08:21:26.000,      2022-11-16,08:21:26    ,                   455.0
2022-11-16 08:20:26.000,      2022-11-16,08:20:26    ,                   451.0
2022-11-16 08:19:26.000,      2022-11-16,08:19:26    ,                   449.0
2022-11-16 08:18:26.000,      2022-11-16,08:18:26    ,                   446.0
2022-11-16 08:17:26.000,      2022-11-16,08:17:26    ,                   443.0
2022-11-16 08:16:26.000,      2022-11-16,08:16:26    ,                   441.0
2022-11-16 08:15:26.000,      2022-11-16,08:15:26    ,                   436.0
2022-11-16 08:14:26.000,      2022-11-16,08:14:26    ,                   435.0
2022-11-16 08:13:26.000,      2022-11-16,08:13:26    ,                   432.0
2022-11-16 08:12:26.000,      2022-11-16,08:12:26    ,                   429.0
2022-11-16 08:11:26.000,      2022-11-16,08:11:26    ,                   427.0
2022-11-16 08:10:26.000,      2022-11-16,08:10:26    ,                   424.0
2022-11-16 08:09:26.000,      2022-11-16,08:09:26    ,                   423.0
2022-11-16 08:08:26.000,      2022-11-16,08:08:26    ,                   418.0
2022-11-16 08:07:26.000,      2022-11-16,08:07:26    ,                   414.0
2022-11-16 08:06:26.000,      2022-11-16,08:06:26    ,                   410.0
2022-11-16 08:05:26.000,      2022-11-16,08:05:26    ,                   405.0
2022-11-16 08:04:26.000,      2022-11-16,08:04:26    ,                   401.0
2022-11-16 08:03:26.000,      2022-11-16,08:03:26    ,                   398.0
2022-11-16 08:02:26.000,      2022-11-16,08:02:26    ,                   395.0
2022-11-16 08:01:26.000,      2022-11-16,08:01:26    ,                   392.0
2022-11-16 08:00:26.000,      2022-11-16,08:00:26    ,                   388.0
2022-11-16 07:59:26.000,      2022-11-16,07:59:26    ,                   382.0
2022-11-16 07:58:26.000,      2022-11-16,07:58:26    ,                   377.0
2022-11-16 07:57:26.000,      2022-11-16,07:57:26    ,                   372.0
2022-11-16 07:56:26.000,      2022-11-16,07:56:26    ,                   366.0
2022-11-16 07:55:26.000,      2022-11-16,07:55:26    ,                   361.0
2022-11-16 07:54:26.000,      2022-11-16,07:54:26    ,                   356.0
2022-11-16 07:53:26.000,      2022-11-16,07:53:26    ,                   350.0
2022-11-16 07:52:26.000,      2022-11-16,07:52:26    ,                   345.0
2022-11-16 07:51:26.000,      2022-11-16,07:51:26    ,                   341.0
2022-11-16 07:50:26.000,      2022-11-16,07:50:26    ,                   340.0
2022-11-16 07:49:26.000,      2022-11-16,07:49:26    ,                   338.0
2022-11-16 07:48:26.000,      2022-11-16,07:48:26    ,                   333.0
2022-11-16 07:47:26.000,      2022-11-16,07:47:26    ,                   328.0
2022-11-16 07:46:26.000,      2022-11-16,07:46:26    ,                   324.0
2022-11-16 07:45:26.000,      2022-11-16,07:45:26    ,                   319.0
2022-11-16 07:44:26.000,      2022-11-16,07:44:26    ,                   316.0
2022-11-16 07:43:26.000,      2022-11-16,07:43:26    ,                   311.0
2022-11-16 07:42:26.000,      2022-11-16,07:42:26    ,                   308.0
2022-11-16 07:41:26.000,      2022-11-16,07:41:26    ,                   305.0
2022-11-16 07:40:26.000,      2022-11-16,07:40:26    ,                   300.0
2022-11-16 07:39:26.000,      2022-11-16,07:39:26    ,                   296.0
2022-11-16 07:38:26.000,      2022-11-16,07:38:26    ,                   293.0
2022-11-16 07:37:26.000,      2022-11-16,07:37:26    ,                   291.0
2022-11-16 07:36:26.000,      2022-11-16,07:36:26    ,                   290.0
2022-11-16 07:35:26.000,      2022-11-16,07:35:26    ,                   287.0
2022-11-16 07:34:26.000,      2022-11-16,07:34:26    ,                   284.0
2022-11-16 07:33:26.000,      2022-11-16,07:33:26    ,                   282.0
2022-11-16 07:32:26.000,      2022-11-16,07:32:26    ,                   278.0
2022-11-16 07:31:26.000,      2022-11-16,07:31:26    ,                   272.0
2022-11-16 07:30:26.000,      2022-11-16,07:30:26    ,                   268.0
2022-11-16 07:29:26.000,      2022-11-16,07:29:26    ,                   263.0
2022-11-16 07:28:26.000,      2022-11-16,07:28:26    ,                   258.0
2022-11-16 07:27:26.000,      2022-11-16,07:27:26    ,                   254.0
2022-11-16 07:26:26.000,      2022-11-16,07:26:26    ,                   250.0
2022-11-16 07:25:26.000,      2022-11-16,07:25:26    ,                   248.0
2022-11-16 07:24:26.000,      2022-11-16,07:24:26    ,                   242.0
2022-11-16 07:23:26.000,      2022-11-16,07:23:26    ,                   238.0
2022-11-16 07:22:26.000,      2022-11-16,07:22:26    ,                   232.0
2022-11-16 07:21:26.000,      2022-11-16,07:21:26    ,                   228.0
2022-11-16 07:20:26.000,      2022-11-16,07:20:26    ,                   224.0
2022-11-16 07:19:26.000,      2022-11-16,07:19:26    ,                   221.0
2022-11-16 07:18:26.000,      2022-11-16,07:18:26    ,                   218.0
2022-11-16 07:17:26.000,      2022-11-16,07:17:26    ,                   218.0
2022-11-16 07:16:26.000,      2022-11-16,07:16:26    ,                   216.0
2022-11-16 07:15:26.000,      2022-11-16,07:15:26    ,                   214.0
2022-11-16 07:14:26.000,      2022-11-16,07:14:26    ,                   210.0
2022-11-16 07:13:26.000,      2022-11-16,07:13:26    ,                   206.0
2022-11-16 07:12:26.000,      2022-11-16,07:12:26    ,                   202.0
2022-11-16 07:11:26.000,      2022-11-16,07:11:26    ,                   198.0
2022-11-16 07:10:26.000,      2022-11-16,07:10:26    ,                   193.0
2022-11-16 07:09:26.000,      2022-11-16,07:09:26    ,                   189.0
2022-11-16 07:08:26.000,      2022-11-16,07:08:26    ,                   185.0
2022-11-16 07:07:26.000,      2022-11-16,07:07:26    ,                   181.0
2022-11-16 07:06:26.000,      2022-11-16,07:06:26    ,                   178.0
2022-11-16 07:05:26.000,      2022-11-16,07:05:26    ,                   174.0
2022-11-16 07:04:26.000,      2022-11-16,07:04:26    ,                   170.0
2022-11-16 07:03:26.000,      2022-11-16,07:03:26    ,                   167.0
2022-11-16 07:02:26.000,      2022-11-16,07:02:26    ,                   163.0
2022-11-16 07:01:26.000,      2022-11-16,07:01:26    ,                   161.0
2022-11-16 07:00:26.000,      2022-11-16,07:00:26    ,                   159.0
2022-11-16 06:59:26.000,      2022-11-16,06:59:26    ,                   158.0
2022-11-16 06:58:26.000,      2022-11-16,06:58:26    ,                   157.0
2022-11-16 06:57:26.000,      2022-11-16,06:57:26    ,                   155.0
2022-11-16 06:56:26.000,      2022-11-16,06:56:26    ,                   152.0
2022-11-16 06:55:26.000,      2022-11-16,06:55:26    ,                   146.0
2022-11-16 06:54:26.000,      2022-11-16,06:54:26    ,                   142.0
2022-11-16 06:53:26.000,      2022-11-16,06:53:26    ,                   139.0
2022-11-16 06:52:26.000,      2022-11-16,06:52:26    ,                   137.0
2022-11-16 06:51:26.000,      2022-11-16,06:51:26    ,                   133.0
2022-11-16 06:50:26.000,      2022-11-16,06:50:26    ,                   129.0
2022-11-16 06:49:26.000,      2022-11-16,06:49:26    ,                   127.0
2022-11-16 06:48:26.000,      2022-11-16,06:48:26    ,                   126.0
2022-11-16 06:47:26.000,      2022-11-16,06:47:26    ,                   126.0
2022-11-16 06:46:26.000,      2022-11-16,06:46:26    ,                   125.0
2022-11-16 06:45:26.000,      2022-11-16,06:45:26    ,                   123.0
2022-11-16 06:44:26.000,      2022-11-16,06:44:26    ,                   119.0
2022-11-16 06:43:26.000,      2022-11-16,06:43:26    ,                   114.0
2022-11-16 06:42:26.000,      2022-11-16,06:42:26    ,                   112.0
2022-11-16 06:41:26.000,      2022-11-16,06:41:26    ,                   111.0
2022-11-16 06:40:26.000,      2022-11-16,06:40:26    ,                   108.0
2022-11-16 06:39:26.000,      2022-11-16,06:39:26    ,                   103.0
2022-11-16 06:38:26.000,      2022-11-16,06:38:26    ,                    98.0
2022-11-16 06:37:26.000,      2022-11-16,06:37:26    ,                    95.0
2022-11-16 06:36:26.000,      2022-11-16,06:36:26    ,                    94.0
2022-11-16 06:35:26.000,      2022-11-16,06:35:26    ,                    92.0
2022-11-16 06:34:26.000,      2022-11-16,06:34:26    ,                    87.0
2022-11-16 06:33:26.000,      2022-11-16,06:33:26    ,                    82.0
2022-11-16 06:32:26.000,      2022-11-16,06:32:26    ,                    77.0
2022-11-16 06:31:26.000,      2022-11-16,06:31:26    ,                    72.0
2022-11-16 06:30:26.000,      2022-11-16,06:30:26    ,                    68.0
2022-11-16 06:29:26.000,      2022-11-16,06:29:26    ,                    64.0
2022-11-16 06:28:26.000,      2022-11-16,06:28:26    ,                    61.0
2022-11-16 06:27:26.000,      2022-11-16,06:27:26    ,                    61.0
2022-11-16 06:26:26.000,      2022-11-16,06:26:26    ,                    59.0
2022-11-16 06:25:26.000,      2022-11-16,06:25:26    ,                    58.0
2022-11-16 06:24:26.000,      2022-11-16,06:24:26    ,                    55.0
2022-11-16 06:23:26.000,      2022-11-16,06:23:26    ,                    54.0
2022-11-16 06:22:26.000,      2022-11-16,06:22:26    ,                    51.0
2022-11-16 06:21:26.000,      2022-11-16,06:21:26    ,                    50.0
2022-11-16 06:20:26.000,      2022-11-16,06:20:26    ,                    49.0
2022-11-16 06:19:26.000,      2022-11-16,06:19:26    ,                    45.0
2022-11-16 06:18:26.000,      2022-11-16,06:18:26    ,                    41.0
2022-11-16 06:17:26.000,      2022-11-16,06:17:26    ,                    37.0
2022-11-16 06:16:26.000,      2022-11-16,06:16:26    ,                    36.0
2022-11-16 06:15:26.000,      2022-11-16,06:15:26    ,                    33.0
2022-11-16 06:14:26.000,      2022-11-16,06:14:26    ,                    30.0
2022-11-16 06:13:26.000,      2022-11-16,06:13:26    ,                    27.0
2022-11-16 06:12:26.000,      2022-11-16,06:12:26    ,                    25.0
2022-11-16 06:11:26.000,      2022-11-16,06:11:26    ,                    22.0
2022-11-16 06:10:26.000,      2022-11-16,06:10:26    ,                    19.0
2022-11-16 06:09:26.000,      2022-11-16,06:09:26    ,                    17.0
2022-11-16 06:08:26.000,      2022-11-16,06:08:26    ,                    16.0
2022-11-16 06:07:26.000,      2022-11-16,06:07:26    ,                    12.0
2022-11-16 06:06:26.000,      2022-11-16,06:06:26    ,                     8.0
2022-11-16 06:05:26.000,      2022-11-16,06:05:26    ,                     4.0
2022-11-16 06:04:26.000,      2022-11-16,06:04:26    ,                     1.0
2022-11-16 06:03:26.000,      2022-11-16,06:03:26    ,                   758.0
2022-11-16 06:02:26.000,      2022-11-16,06:02:26    ,                  1496.0
2022-11-16 06:01:26.000,      2022-11-16,06:01:26    ,                  1495.0
2022-11-16 06:00:26.000,      2022-11-16,06:00:26    ,                  1494.0
2022-11-16 05:59:26.000,      2022-11-16,05:59:26    ,                  1493.0
2022-11-16 05:58:26.000,      2022-11-16,05:58:26    ,                  1489.0
2022-11-16 05:57:26.000,      2022-11-16,05:57:26    ,                  1484.0
2022-11-16 05:56:26.000,      2022-11-16,05:56:26    ,                  1479.0
2022-11-16 05:55:26.000,      2022-11-16,05:55:26    ,                  1476.0
2022-11-16 05:54:26.000,      2022-11-16,05:54:26    ,                  1475.0
2022-11-16 05:53:26.000,      2022-11-16,05:53:26    ,                  1472.0
2022-11-16 05:52:26.000,      2022-11-16,05:52:26    ,                  1468.0
2022-11-16 05:51:26.000,      2022-11-16,05:51:26    ,                  1463.0
2022-11-16 05:50:26.000,      2022-11-16,05:50:26    ,                  1462.0
2022-11-16 05:49:26.000,      2022-11-16,05:49:26    ,                  1461.0
2022-11-16 05:48:26.000,      2022-11-16,05:48:26    ,                  1459.0
2022-11-16 05:47:26.000,      2022-11-16,05:47:26    ,                  1457.0
2022-11-16 05:46:26.000,      2022-11-16,05:46:26    ,                  1453.0
2022-11-16 05:45:26.000,      2022-11-16,05:45:26    ,                  1449.0
2022-11-16 05:44:26.000,      2022-11-16,05:44:26    ,                  1444.0
2022-11-16 05:43:26.000,      2022-11-16,05:43:26    ,                  1441.0
2022-11-16 05:42:26.000,      2022-11-16,05:42:26    ,                  1437.0
2022-11-16 05:41:26.000,      2022-11-16,05:41:26    ,                  1433.0
2022-11-16 05:40:26.000,      2022-11-16,05:40:26    ,                  1433.0
2022-11-16 05:39:26.000,      2022-11-16,05:39:26    ,                  1431.0
2022-11-16 05:38:26.000,      2022-11-16,05:38:26    ,                  1429.0
2022-11-16 05:37:26.000,      2022-11-16,05:37:26    ,                  1427.0
2022-11-16 05:36:26.000,      2022-11-16,05:36:26    ,                  1424.0
2022-11-16 05:35:26.000,      2022-11-16,05:35:26    ,                  1420.0
2022-11-16 05:34:26.000,      2022-11-16,05:34:26    ,                  1416.0
2022-11-16 05:33:26.000,      2022-11-16,05:33:26    ,                  1412.0
2022-11-16 05:32:26.000,      2022-11-16,05:32:26    ,                  1410.0
2022-11-16 05:31:26.000,      2022-11-16,05:31:26    ,                  1409.0
2022-11-16 05:30:26.000,      2022-11-16,05:30:26    ,                  1407.0
2022-11-16 05:29:26.000,      2022-11-16,05:29:26    ,                  1404.0
2022-11-16 05:28:26.000,      2022-11-16,05:28:26    ,                  1399.0
2022-11-16 05:27:26.000,      2022-11-16,05:27:26    ,                  1395.0
