DateAndTime            ,Date            ,Time        ,CPM_1_Running           ,CPM_2_Actual_Speed      ,CPM_1_Waiting_Upstream  ,CPM_1_Blocked_Downstream,CPM_2_Manual_Stop_Count ,CPM_2_Manual_Stop_Time  ,CPM_02_Status           ,CPM_02_Blocked          ,FBC_Produced_02         
-----------------------,----------------,------------,------------------------,------------------------,------------------------,------------------------,------------------------,------------------------,------------------------,------------------------,------------------------
2022-11-16 11:32:26.000,      2022-11-16,11:32:26    ,                     0.0,                    98.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   575.0
2022-11-16 11:31:26.000,      2022-11-16,11:31:26    ,                     0.0,                   238.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   575.0
2022-11-16 11:30:26.000,      2022-11-16,11:30:26    ,                     1.0,                   224.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   572.0
2022-11-16 11:29:26.000,      2022-11-16,11:29:26    ,                     1.0,                   224.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   570.0
2022-11-16 11:28:26.000,      2022-11-16,11:28:26    ,                     1.0,                   224.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   567.0
2022-11-16 11:27:26.000,      2022-11-16,11:27:26    ,                     1.0,                   182.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   564.0
2022-11-16 11:26:26.000,      2022-11-16,11:26:26    ,                     1.0,                    42.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   562.0
2022-11-16 11:25:26.000,      2022-11-16,11:25:26    ,                     1.0,                   196.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   561.0
2022-11-16 11:24:26.000,      2022-11-16,11:24:26    ,                     1.0,                    70.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   559.0
2022-11-16 11:23:26.000,      2022-11-16,11:23:26    ,                     1.0,                    42.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   557.0
2022-11-16 11:22:26.000,      2022-11-16,11:22:26    ,                     1.0,                   224.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   557.0
2022-11-16 11:21:26.000,      2022-11-16,11:21:26    ,                     1.0,                   210.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   555.0
2022-11-16 11:20:26.000,      2022-11-16,11:20:26    ,                     1.0,                   224.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   553.0
2022-11-16 11:19:26.000,      2022-11-16,11:19:26    ,                     1.0,                    28.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   550.0
2022-11-16 11:18:26.000,      2022-11-16,11:18:26    ,                     0.0,                    28.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   548.0
2022-11-16 11:17:26.000,      2022-11-16,11:17:26    ,                     1.0,                   154.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   548.0
2022-11-16 11:16:26.000,      2022-11-16,11:16:26    ,                     1.0,                   126.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   547.0
2022-11-16 11:15:26.000,      2022-11-16,11:15:26    ,                     1.0,                   154.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   545.0
2022-11-16 11:14:26.000,      2022-11-16,11:14:26    ,                     1.0,                    84.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   544.0
2022-11-16 11:13:26.000,      2022-11-16,11:13:26    ,                     1.0,                   140.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   543.0
2022-11-16 11:12:26.000,      2022-11-16,11:12:26    ,                     1.0,                   168.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   541.0
2022-11-16 11:11:26.000,      2022-11-16,11:11:26    ,                     1.0,                   126.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   539.0
2022-11-16 11:10:26.000,      2022-11-16,11:10:26    ,                     1.0,                   238.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   538.0
2022-11-16 11:09:26.000,      2022-11-16,11:09:26    ,                     1.0,                   224.0,                     1.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   535.0
2022-11-16 11:08:26.000,      2022-11-16,11:08:26    ,                     1.0,                   182.0,                     0.0,                     0.0,                    NULL,                    NULL,                    NULL,                     0.0,                   533.0
2022-11-16 11:07:26.000,      2022-11-16,11:07:26    ,                     1.0,                    42.0,                     0.0,                     1.0,                    NULL,                    NULL,                    NULL,                     1.0,                   530.0
